name,arr,segment,industry,region,renewal_date,cs_owner,active_users,seats_purchased,feature_x_adoption,weekly_active_pct,time_to_value_days,tickets_last_30d,critical_tickets_90d,sla_breaches_90d,nps,qbr_last_date,onboarding_phase,expansion_oppty_dollar,renewal_risk
Acme Corp,500000,Enterprise,Technology,US,2025-12-15,Sarah Johnson,120,100,0.85,0.90,25,2,0,0,65,2025-09-01,False,100000,Low
TechStart Inc,50000,SMB,SaaS,EU,2025-11-20,Mike Chen,8,25,0.25,0.30,90,15,3,2,-25,2024-12-01,False,5000,High
Global Solutions,200000,Mid-Market,Finance,APAC,2026-01-30,Lisa Park,60,75,0.70,0.75,40,4,1,0,45,2025-08-15,False,40000,Low
DataFlow Systems,750000,Enterprise,Analytics,US,2026-03-01,Sarah Johnson,200,150,0.92,0.95,15,0,0,0,80,2025-09-20,False,150000,Low
SmartBiz Co,35000,SMB,Retail,US,2025-10-25,Mike Chen,3,20,0.20,0.15,120,20,5,3,-40,,True,0,High
CloudVentures,150000,Mid-Market,Cloud,EU,2025-12-01,Lisa Park,45,60,0.55,0.60,60,8,2,1,20,2025-07-10,False,20000,Medium
InnovateTech,300000,Mid-Market,Technology,US,2026-02-15,Sarah Johnson,80,90,0.75,0.80,35,3,0,0,55,2025-08-30,False,50000,Low
QuickServe Ltd,80000,SMB,Hospitality,APAC,2025-11-15,Mike Chen,25,40,0.45,0.50,75,12,4,2,10,2025-05-20,False,10000,High
MegaCorp Industries,1200000,Enterprise,Manufacturing,EU,2026-04-01,Lisa Park,300,250,0.88,0.92,20,1,0,0,75,2025-09-15,False,200000,Low
StartupXYZ,25000,SMB,Startup,US,2025-10-30,Mike Chen,5,15,0.30,0.35,100,18,6,4,-30,,True,0,High
