name,arr,segment,region,renewal_date,active_users,seats_purchased,feature_x_adoption,weekly_active_pct,nps,tickets_last_30d,critical_tickets_90d,sla_breaches_90d,time_to_value_days,qbr_last_date,expansion_oppty_dollar,onboarding_phase,industry,cs_owner,renewal_risk
BrightPath Analytics,450000,Enterprise,US,2026-03-15,95,100,0.82,0.88,68,1,0,0,22,2025-09-10,85000,false,Analytics,Sarah Johnson,Low
DevOps Masters,180000,Mid-Market,EU,2025-12-20,48,60,0.68,0.72,42,6,1,0,45,2025-07-25,30000,false,DevOps,Lisa Park,Medium
FastGrow Startup,28000,SMB,US,2025-11-05,4,15,0.18,0.22,-35,22,7,4,110,null,0,true,Startup,Mike Chen,High
Enterprise Solutions Co,950000,Enterprise,APAC,2026-05-01,220,200,0.91,0.94,78,0,0,0,18,2025-09-22,175000,false,Technology,Sarah Johnson,Low
MidSize Tech Inc,220000,Mid-Market,US,2026-01-10,65,80,0.73,0.78,50,3,0,0,38,2025-08-05,45000,false,SaaS,Lisa Park,Low
Tiny Shop LLC,32000,SMB,EU,2025-10-28,6,20,0.28,0.32,-20,18,5,3,95,2025-04-15,0,false,Retail,Mike Chen,High
Cloud Innovators,380000,Mid-Market,US,2026-02-18,88,100,0.79,0.83,62,2,0,0,28,2025-08-28,65000,false,Cloud,Sarah Johnson,Low
Smart Systems Ltd,125000,Mid-Market,APAC,2025-12-05,38,50,0.58,0.62,32,9,2,1,55,2025-06-10,18000,false,IoT,Lisa Park,Medium
Growth Stage Co,85000,SMB,US,2025-11-22,18,30,0.42,0.48,15,14,3,2,72,2025-05-05,12000,false,Marketing,Mike Chen,High
Mega Enterprise Global,1500000,Enterprise,EU,2026-06-15,350,300,0.89,0.93,82,0,0,0,20,2025-09-28,250000,false,Manufacturing,Lisa Park,Low
